Heart,http://bildstod.se/image/get/5175
Leg,http://bildstod.se/image/get/8103
Arm,http://bildstod.se/image/get/4888
Stomach,http://bildstod.se/image/get/11627
Chest,http://bildstod.se/image/get/5407
Throat,http://bildstod.se/image/get/5864
EarEars,http://bildstod.se/image/get/5425
EyeEyes,http://bildstod.se/image/get/6991
Head,http://bildstod.se/image/get/4912
Medicine,http://bildstod.se/image/get/7721
Pill,http://bildstod.se/image/get/2868
Injection,http://bildstod.se/image/get/5503
Bloodpressure,http://bildstod.se/image/get/7793
Weight,http://bildstod.se/image/get/4822
Cough,http://bildstod.se/image/get/5930
Doctor,http://bildstod.se/image/get/3670
Nurse,http://bildstod.se/image/get/8394
Hospital,http://bildstod.se/image/get/6941
Aids,http://bildstod.se/image/get/1329
MeasureLength,http://bildstod.se/image/get/6463
Openmouth,http://bildstod.se/image/get/1566
Bandaid,http://bildstod.se/image/get/7869
,
Pain,http://bildstod.se/image/get/19300
Cavity,http://bildstod.se/image/get/2375
Fever,http://bildstod.se/image/get/7053
Vomit,http://bildstod.se/image/get/5332
Nausia,http://bildstod.se/image/get/24012
Depression,http://bildstod.se/image/get/4505
Wound,http://bildstod.se/image/get/5357
Examinecheckup,http://bildstod.se/image/get/5171
,
Water,http://bildstod.se/image/get/2652
Milk,http://bildstod.se/image/get/3539
Juice,http://bildstod.se/image/get/879
Soda,http://bildstod.se/image/get/2778
Coffee,http://bildstod.se/image/get/2737
Tea,http://bildstod.se/image/get/11723
Wine,http://bildstod.se/image/get/4553
Beer,http://bildstod.se/image/get/2769
Food,http://bildstod.se/image/get/6013
Bread,http://bildstod.se/image/get/3830
Butter,http://bildstod.se/image/get/3634
Cheese,http://bildstod.se/image/get/4085
Breakfast,http://bildstod.se/image/get/6028
Lunch,http://bildstod.se/image/get/6014
Dinner,http://bildstod.se/image/get/5995
CoffeeBreak,http://bildstod.se/image/get/11721
Fruit,http://bildstod.se/image/get/6055
Vegetables,http://bildstod.se/image/get/11896
Meat,http://bildstod.se/image/get/2756
Pasta,http://bildstod.se/image/get/8090
Potatoes,http://bildstod.se/image/get/3885
Rice,http://bildstod.se/image/get/7112
Candy,http://bildstod.se/image/get/2629
Chocolate,http://bildstod.se/image/get/2773
Fish,http://bildstod.se/image/get/7396
Chicken,http://bildstod.se/image/get/6254
Eat,http://bildstod.se/image/get/14620
Drink,http://bildstod.se/image/get/2696
,
Buy,http://bildstod.se/image/get/1714
Money,http://bildstod.se/image/get/6032
Clothes,http://bildstod.se/image/get/7428
Shirt,http://bildstod.se/image/get/2749
Pants,http://bildstod.se/image/get/4258
Jacket,http://bildstod.se/image/get/2759
Gloves,http://bildstod.se/image/get/5470
KnitCap,http://bildstod.se/image/get/3344
Shoes,http://bildstod.se/image/get/4600
Store,http://bildstod.se/image/get/7034
GroceryStore,http://bildstod.se/image/get/8183
Changemoney,http://bildstod.se/image/get/2070
Receipt,http://bildstod.se/image/get/8382
,
Bus,http://bildstod.se/image/get/2673
Car,http://bildstod.se/image/get/2779
Cab,http://bildstod.se/image/get/4350
Train,http://bildstod.se/image/get/4487
Tram,http://bildstod.se/image/get/4482
Airplane,http://bildstod.se/image/get/2678
Boat,http://bildstod.se/image/get/1136
Bicycle,http://bildstod.se/image/get/2702
Right,http://bildstod.se/image/get/8400
Left,http://bildstod.se/image/get/8401
StraightForward,http://bildstod.se/image/get/2325
Back,http://bildstod.se/image/get/6860
Behind,http://bildstod.se/image/get/6401
Traveldirection,http://bildstod.se/image/get/3367
Whereis,http://bildstod.se/image/get/7277
Time,http://bildstod.se/image/get/7279
Delay,http://bildstod.se/image/get/23651
Cancelled,http://bildstod.se/image/get/6477
Walk,http://bildstod.se/image/get/6715
Passport,http://bildstod.se/image/get/6784
Ticket,http://bildstod.se/image/get/677
,
TV,http://bildstod.se/image/get/7787
Computer,http://bildstod.se/image/get/7410
Mobile,http://bildstod.se/image/get/4028
Charger,http://bildstod.se/image/get/1914
Play,http://bildstod.se/image/get/3504
Eat,http://bildstod.se/image/get/14620
Drink,http://bildstod.se/image/get/2696
Walk,http://bildstod.se/image/get/6715
Howareyou,http://bildstod.se/image/get/391
Park,http://bildstod.se/image/get/3473
Caf,http://bildstod.se/image/get/9294
Cinema,http://bildstod.se/image/get/6005
School,http://bildstod.se/image/get/7260
Draw,http://bildstod.se/image/get/660
Read,http://bildstod.se/image/get/4279
Write,http://bildstod.se/image/get/7646
HomeWork,http://bildstod.se/image/get/650
Shower,http://bildstod.se/image/get/3102
Washhands,http://bildstod.se/image/get/3528
Brushteeth,http://bildstod.se/image/get/9260
Change,http://bildstod.se/image/get/5336
Music,http://bildstod.se/image/get/5323
Toilet,http://bildstod.se/image/get/3449
Sleep,http://bildstod.se/image/get/6897
Family,http://bildstod.se/image/get/3580
Baby,http://bildstod.se/image/get/6730
Cold,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/cold_2.png
Hot,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/hot_2.png
MigrationAgency,http://bildstod.se/image/get/8005
,
Happy,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/boy_1.png
Sad,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/sad.png
Worried,http://bildstod.se/image/get/9549
Bored,http://bildstod.se/image/get/2649
Depressed,http://bildstod.se/image/get/4505
Afraid,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/to%20be%20frightened_2.png
Tired,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/tired_4.png
Excited,http://bildstod.se/image/get/8478
Hungry,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/hungry.png
Thirsty,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/thirsty.png
Lonely,http://bildstod.se/image/get/7448
Thankful,http://bildstod.se/image/get/7686
Satisfied,http://symbolmanager.ecs.soton.ac.uk/images/Designer/I%20am%20fine(F).jpg
Alert,http://bildstod.se/image/get/1807
Angry,http://bildstod.se/image/get/3120
Motivated,http://bildstod.se/image/get/15020
Cold,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/cold_3.png
Embarressed,http://bildstod.se/image/get/1073
Love,http://bildstod.se/image/get/7427
Fun,http://bildstod.se/image/get/17338
Missing,http://bildstod.se/image/get/222
Pain,http://bildstod.se/image/get/19300
Nausia,http://bildstod.se/image/get/24012
Depression,http://bildstod.se/image/get/4505
,
I,http://bildstod.se/image/get/7048
To,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/to.jpg
AAn,http://bildstod.se/image/get/16
It,http://bildstod.se/image/get/8199
Is,http://bildstod.se/image/get/6565
In,http://bildstod.se/image/get/6397
My,http://bildstod.se/image/get/1286
You,http://symbolmanager.ecs.soton.ac.uk/images/Designer/you_4.png
Yes,http://bildstod.se/image/get/2318
No,http://bildstod.se/image/get/2577
Have,http://bildstod.se/image/get/1285
Like,http://bildstod.se/image/get/8478
Me,http://bildstod.se/image/get/7503
Do,http://bildstod.se/image/get/6682
On,http://bildstod.se/image/get/6408
People,http://bildstod.se/image/get/7313
Know,http://bildstod.se/image/get/8232
With,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/copyof-with.png
They,http://bildstod.se/image/get/7228
What,http://bildstod.se/image/get/483
Not,http://bildstod.se/image/get/6477
She,http://bildstod.se/image/get/7226
He,http://bildstod.se/image/get/6067
We,http://bildstod.se/image/get/8129
Think,http://bildstod.se/image/get/8099
One,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/one_1.png
When,http://bildstod.se/image/get/2669
Not,http://bildstod.se/image/get/7416
Well,http://bildstod.se/image/get/2318
Bad,http://bildstod.se/image/get/2577
How,http://bildstod.se/image/get/1021
Or,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/which.png
Time,http://bildstod.se/image/get/2203
This,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/copyof-copyof-this%20one.png
Use,http://bildstod.se/image/get/1619
There,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/there.png
Work,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/job_2.png
Say,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/to%20say.png
From,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/from.png
Walk,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/to%20walk_1.png
Can,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/to%20be%20able%20to.png
More,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/more_1.png
Need,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/help_4.png
Some,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-thumbnail.png
Years,http://bildstod.se/image/get/16207
Months,http://bildstod.se/image/get/7358
Days,http://bildstod.se/image/get/3538
Hours,http://bildstod.se/image/get/7326
All,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/all%20-%20everything_1.png
Help,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/help_4.png
Get,http://bildstod.se/image/get/1557
Speech,http://bildstod.se/image/get/5877
Most,http://bildstod.se/image/get/10911
Now,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/now.png
Which,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/which.png
Who,http://bildstod.se/image/get/2362
Out,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/out.png
Their,http://bildstod.se/image/get/1292
Been,http://bildstod.se/image/get/5282
First,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-copyof-thumbnail.png
Different,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/different.png
Really,http://bildstod.se/image/get/4312
Things,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/things.png
Two,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/number%20two_1.png
Boy,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/copyof-copyof-copyof-boy_3.png
Girl,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/copyof-little%20girl.png
Woman,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/copyof-person_6.png
Man,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/copyof-person_5.png
Sister,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/sister.png
Brother,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/brother.png
Mother,http://bildstod.se/image/get/3616
Dad,http://bildstod.se/image/get/3848
Grandmother,http://bildstod.se/image/get/3101
Grandfather,http://bildstod.se/image/get/2648
Children,http://symbolmanager.ecs.soton.ac.uk/images/ARASAAC/copyof-boys_2.png